Scattered Sites,"Southeast Portland, OR",18,0,18,REACH CDC,(503)231-0682,http://www.reachcdc.org,,Mod Rehab/SRO,small_blue,4,Type,Color
Fairfield Apartments,"1117 SW Stark Portland, OR 97205",82,2,80,Income Property Management,(503)224-8036,http://www.ipmco.com/,,Mod Rehab/SRO,small_blue,4,MF,small_purple
Butte,"610 NW Davis Portland, OR 97209",38,0,37,Central City Concern,(503) 294-1681,http://www.centralcityconcern.org/,,Mod Rehab/SRO,small_blue,4,LIHTC,small_yellow
Biltmore,"310 NW Sixth Ave. Portland, OR 97209",76,0,75,Central City Concern,(503) 294-1681,http://www.centralcityconcern.org/,,Mod Rehab/SRO,small_blue,4,Mixed,small_green
Appleblossom,"139-169 Apple Blossom Avenue N Keizer, OR 97301",12,6,6,Cascade Management,503-566-2804,http://www.cascade-management.com/,,Mod Rehab/SRO,small_blue,4,SRO/Mod Rehab,small_blue
Medford Hotel,406 W. Main. 97501,71,0,71,Housing Authority of Jackson County,(503)779-5785,http://hajc.net/,,Mod Rehab/SRO,small_blue,4,USDA,small_red
ARC,"119 N. Central Medford, OR 97501",6,0,6,Housing Authority of Jackson County,(503)779-5785,http://hajc.net/,,Mod Rehab/SRO,small_blue,4,,
The Grand,"202 N. Front Medford, OR 97501",26,3,23,Housing Authority of Jackson County,(503)779-5785,http://hajc.net/,,Mod Rehab/SRO,small_blue,4,,
Julian Apartments,"105 SW 2nd St. Corvallis, OR 97333",36,0,35,Linn-Benton Housing Authority,(541)926-4497,http://www.l-bha.org,,Mod Rehab/SRO,small_blue,4,,
Astor Hotel,"342 14th St. Astoria, OR",66,0,59,Astor Hotel Apartments,(503)325-0171,,,Mod Rehab/SRO,small_blue,4,,
The Rose,"631 SE Taylor St. Portland, OR 97214",57,0,57,REACH CDC,(503)231-0682,http://www.reachcdc.org,,Mod Rehab/SRO,small_blue,4,,
Hatfield,"204 SW 8th Ave. Portland, OR 97205",106,0,100,Central City Concern,(503) 294-1681,http://www.centralcityconcern.org/,,Mod Rehab/SRO,small_blue,4,,
Sally McCracken,"532 NW Everett.  Portland, OR 97209",95,0,92,Central City Concern,(503) 294-1681,http://www.centralcityconcern.org/,,Mod Rehab/SRO,small_blue,4,,
Rose Wood,"4810 NE Sandy Blvd. Portland, OR 97213",36,0,21,Central City Concern,(503) 294-1681,http://www.centralcityconcern.org/,,Mod Rehab/SRO,small_blue,4,,
Barbara Maher,"2322 N. Williams Ave. Portland, OR 97227",32,0,32,Guardian Management,(503)823-4935,http://www.gres.com/,,Mod Rehab/SRO,small_blue,4,,
Coral SRO (Salem),"Salem, OR",26,0,26,City of Salem Housing Authority,(503)588-6368,http://www.cityofsalem.net/Residents/HousingAuthority/Pages/Section8A.aspx,,Mod Rehab/SRO,small_blue,4,,
Arbor Glen Apts,"2609 SE 145th St Portland, OR",97,77,20,Affinity Property Mgmt,503-892-0099,http://www.affinityproperty.com/,FAM,"LIHTC, Project Based Vouchers",small_green,5,,
Beyer Court,"9305-9329 SE Howard St Portland, OR",14,9,5,Cascade Mgmt - Wilsonville,503-682-7788,http://www.cascade-management.com/,FAM,"LIHTC, Project Based Vouchers",small_green,3,,
Broadway Vantage,"8238-8340 NE Broadway Portland, OR",58,33,15,Income Property Management Co.,503-223-6327,http://www.ipmco.com/,ADR FAM HOM,"LIHTC, Project Based Vouchers",small_green,3,,
Bud Clark Commons,"655 NW Hoyt Street Portland, OR",130,30,100,Home Forward,503-280-4011,,HOM,"LIHTC, Project Based Vouchers",small_green,3,,
Canterbury Hills,"Arrowhead Dr & Dragon Tail Pl St Medford, OR",48,28,20,Hsg Auth of Jackson Co,,,FAM,"LIHTC, Project Based Vouchers",small_green,3,,
Clara Vista Townhomes,"5300-5315 NE Cully Blvd / 6826-6936 NE Killingsworth Portland, OR",44,30,14,Cascade Mgmt - Wilsonville,503-682-7788,http://www.cascade-management.com/,LF,"LIHTC, Project Based Vouchers",small_green,3,,
Clayton Meadows Senior Apts,"2080 Queen Ave SE Albany, OR",50,50,0,Linn-Benton HA,541-928-6901,,ELD,"LIHTC, Project Based Vouchers",small_green,3,,
Clifford Apartments,"527 SE Morrison St Portland, OR",88,73,15,Income Property Management Co.,503-223-6327,http://www.ipmco.com/,DIS HOM RO,"LIHTC, Project Based Vouchers",small_green,3,,
Clinton Ridge Apts,"2730 SE 92nd Ave Portland, OR",29,21,8,Cascadia Behavioral Health,503-238-0769 x125,http://www.cascadiabhc.org/,ADR DIS,"LIHTC, Project Based Vouchers",small_green,3,,
Country Squire,"6720-6730 SE 72nd Ave Portland, OR",32,24,8,Cascade Mgmt,503-682-7788,http://www.cascade-management.com/,FAM,"LIHTC, Project Based Vouchers",small_green,3,,
Eastgate Station,"100 NE 120th Ave Portland, OR",61,41,20,Cascade Mgmt Corp,971-224-1402,http://www.cascade-management.com/,DIS HOM FAM,"LIHTC, Project Based Vouchers",small_green,3,,
Emerson Corner,"5305 NE 11th Ave Portland, OR",4,0,4,Cascadia Behavioral Helathcare,503-412-6430,http://www.cascadiabhc.org/,ADR,"LIHTC, Project Based Vouchers",small_green,3,,
Esperanza Court - Portland,"3611 SE 28th Ave Portland, OR",70,56,14,Cascade Mgmt,503-682-7788,http://www.cascade-management.com/,FAM HOM,"LIHTC, Project Based Vouchers",small_green,3,,
Fountain Place,"929 SW Salmon Street Portland, OR",80,60,20,Cascade Mgmt,503-682-7788,http://www.cascade-management.com/,FAM IND,"LIHTC, Project Based Vouchers",small_green,3,,
Gladstone Square,"12020 SE Gladstone Street Portland, OR",48,45,3,Cascade Mgmt - Wilsonville,503-682-7788,http://www.cascade-management.com/,FAM,"LIHTC, Project Based Vouchers",small_green,3,,
Gray's Landing,"650 SW Lowell St Portland, OR",209,167,42,REACH Community Development,503-231-0682,http://reachcdc.org/,FAM HOM VETS,"LIHTC, Project Based Vouchers",small_green,3,,
Hamilton West Apts,"1212 SW Clay St Portland, OR",152,152,0,Cascade Mgmt - Wilsonville,503-682-7788,http://www.cascade-management.com/,FAM IND,"LIHTC, Project Based Vouchers",small_green,3,,
Hewitt Place,"838, 925 SW 28th Way; 822-846 SW 29th Way; 2839-3035 Hewitt Place Troutdale, OR",44,40,4,Income Property Management Co.,503-223-6327,http://www.ipmco.com/,FAM,"LIHTC, Project Based Vouchers",small_green,3,,
Hood River Crossing Apts,"3135 Cascade St Hood River, OR",40,30,10,Cascade Mgmt Corp,971-224-1402,http://www.cascade-management.com/,FAM FW,"LIHTC, Project Based Vouchers",small_green,3,,
Hotel Alder SRO,"415 SW Alder St Portland, OR",99,54,35,Central City Concern,503-525-8483,http://www.centralcityconcern.org/,IND,"LIHTC, Project Based Vouchers",small_green,3,,
Interstate Crossings,"6905 N Interstate Ave Portland, OR",12,1,11,Central City Concern,503-525-8483,http://www.centralcityconcern.org/,ADR SPF,"LIHTC, Project Based Vouchers",small_green,3,,
James Hawthorne Project,"1510 SW 13th Avenue Portland, OR",48,39,9,Luke-Dorf,503-726-3702,,DIS HOM,"LIHTC, Project Based Vouchers",small_green,3,,
"Jeffrey Apts, The","1145 SW 11th Ave Portland, OR",80,50,30,Pinnacle Realty Mgmt,503-242-0011,,FAM HOM IND,"LIHTC, Project Based Vouchers",small_green,3,,
Gretchen Kafoury Commons,"1240 SW Columbia St Portland, OR",129,118,11,Bowen Property Mgmt,503-684-1123,,FAM IND,"LIHTC, Project Based Vouchers",small_green,3,,
Kateri Park,"Not Disclosed Portland, OR",50,30,20,Cascade Mgmt - Wilsonville,503-682-7788,http://www.cascade-management.com/,FAM HOM SN,"LIHTC, Project Based Vouchers",small_green,3,,
"Knoll at Tigard, The","12291 SW Knoll Dr Tigard, OR",48,36,12,Income Property Management Co.,503-223-6327,http://www.ipmco.com/,ELD,"LIHTC, Project Based Vouchers",small_green,3,,
Leander Court,"4600 SE 122nd Avenue Portland, OR",37,26,11,Cascade Mgmt - Wilsonville,503-682-7788,http://www.cascade-management.com/,FAM RO,"LIHTC, Project Based Vouchers",small_green,3,,
Lents Village Apts,"10305 SE Holgate Blvd Portland , OR",63,53,10,Cascade Mgmt - Wilsonville,503-682-7788,http://www.cascade-management.com/,ELD,"LIHTC, Project Based Vouchers",small_green,3,,
Lincoln Woods,"2333 SE 130th Ave Portland, OR",70,56,14,Cascade Mgmt - Wilsonville,503-682-7788,http://www.cascade-management.com/,FAM,"LIHTC, Project Based Vouchers",small_green,3,,
Madrona Studios,"10 N Wiedler Portland, OR",176,166,10,Central City Concern,503-525-8483,http://www.centralcityconcern.org/,HOM IND ADR HOM RO,"LIHTC, Project Based Vouchers",small_green,3,,
Maple Terrace - Medford,"5 Mace Road Medford, OR",82,67,15,HA of Jackson Co,541-779-5785,,FAM,"LIHTC, Project Based Vouchers",small_green,3,,
Martha Washington,"1115 SW 11th Ave Portland, OR",108,63,45,Central City Concern,503-525-8483,http://www.centralcityconcern.org/,DIS FAM HOM,"LIHTC, Project Based Vouchers",small_green,3,,
Mayfield Court,"17675 SE Pine St Gresham, OR",30,24,6,,503-682-7788,,ELD,"LIHTC, Project Based Vouchers",small_green,3,,
Midland Commons,"2830 SE 127th Avenue Portland, OR",46,44,22,Cascadia Behavioral Health Care,503-412-6430,http://www.cascadiabhc.org/,DIS,"LIHTC, Project Based Vouchers",small_green,3,,
"Morrison, The","1959 SW Morrison Portland, OR",140,110,30,Income Property Management Co.,503-223-6327,http://www.ipmco.com/,FAM HOM IND,"LIHTC, Project Based Vouchers",small_green,3,,
Musolf Manor,"216 NW 3rd Ave Portland, OR",95,18,77,Income Property Management Co.,503-223-6327,http://www.ipmco.com/,HOM IND,"LIHTC, Project Based Vouchers",small_green,3,,
Nelson Ct / Ceel-Ocks Manor,"9807, 9823, 9835 N Central & 8516 N St. Louis Portland, OR",10,9,1,Income Property Management Co.,503-223-6327,http://www.ipmco.com/,IND,"LIHTC, Project Based Vouchers",small_green,3,,
New Columbia: Cecelia,"4605 N Trenton Portland, OR",131,58,73,Guardian Real Estate Services,503-802-3600,http://www.gres.com/,FAM,"LIHTC, Project Based Vouchers",small_green,3,,
Patton Park Apts,"5272 N Interstate Ave Portland, OR",54,42,12,REACH Community Development,503-231-0682,http://reachcdc.org/,FAM,"LIHTC, Project Based Vouchers",small_green,3,,
Penny Lane Apartments,"445 North Second Street Central Point, OR",12,10,2,HA of Jackson County,541-779-5785,,FAM,"LIHTC, Project Based Vouchers",small_green,3,,
Westshore Apartments,"222 SW Pine Street Portland, OR",113,107,6,Pinnacle Realty Mgmt,503-242-0011,,FAM IND,"LIHTC, Project Based Vouchers",small_green,3,,
Richard L Harris Building (8 NW 8th),"8 NW 8th Avenue Portland, OR",180,133,47,Central City Concern,503-525-8483,http://www.centralcityconcern.org/,HOM,"LIHTC, Project Based Vouchers",small_green,3,,
Ritzdorf Courts,"SE 12th & Belmont Portland, OR",90,68,22,REACH Community Development,503-231-0682,http://reachcdc.org/,FAM HOM,"LIHTC, Project Based Vouchers",small_green,3,,
Shaver Green,"375 NE Shaver Street Portland, OR",85,78,8,Cascade Mgmt,503-682-7788,http://www.cascade-management.com/,FAM IND,"LIHTC, Project Based Vouchers",small_green,3,,
Snowberry Brook,"350 Clay St Ashland, OR",60,48,12,HA of Jackson Co,541-779-5785,,FAM,"LIHTC, Project Based Vouchers",small_green,3,,
Springwater Commons,"6430 SE 128th Ave Portland, OR",36,27,9,Guardian Real Estate Services,503-802-3600,http://www.gres.com/,FAM,"LIHTC, Project Based Vouchers",small_green,3,,
Victorian Inn,"2255 W Burnside Street Portland, OR",62,47,15,Guardian Real Estate Services,503-802-3600,http://www.gres.com/,FAM,"LIHTC, Project Based Vouchers",small_green,3,,
